Date,Level,Transit,House,Profection,Score,Aspect,Meaning,Actions,Status
2026-05-10,HIGH,Saturn->Neptune,6,11,3242.4,Saturn Sq natal Neptune (0.048°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Passed
2026-05-11,HIGH,Saturn->Neptune,6,11,3241.2,Saturn Sq natal Neptune (0.153°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Passed
2026-05-13,HIGH,Saturn->Neptune,6,11,3200.0,Saturn Sq natal Neptune (0.362°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Passed
2026-05-15,HIGH,Neptune->Neptune,6,11,3324.8,Neptune Sq natal Neptune (6.456°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Passed
2026-07-06,PEAK,Neptune->Neptune,6,11,4876.5,Neptune Sq natal Neptune (5.723°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-07-23,HIGH,Mercury->Neptune,6,11,3356.4,Mercury Opp natal Neptune (6.185°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2026-07-25,PEAK,Saturn->Neptune,6,11,3993.0,Saturn Sq natal Neptune (4.607°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming
2026-07-26,PEAK,Saturn->Neptune,6,11,3906.4,Saturn Sq natal Neptune (4.608°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming
2026-10-15,PEAK,Pluto->Mars,2,11,3725.8,Pluto Tri natal Mars (6.712°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2026-10-23,HIGH,Mercury->Pluto,3,11,3371.0,Mercury Conj natal Pluto (7.304°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2026-11-12,HIGH,Neptune->Uranus,6,11,3288.7,Neptune Sq natal Uranus (0.009°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-11-13,VERY HIGH,Neptune->Uranus,6,11,3690.9,Neptune Sq natal Uranus (0.007°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-11-14,HIGH,Neptune->Uranus,6,11,3257.4,Neptune Sq natal Uranus (0.023°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-11-17,HIGH,Neptune->Uranus,6,11,3257.4,Neptune Sq natal Uranus (0.066°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-12-06,VERY HIGH,Saturn->Saturn,6,11,3453.2,Saturn Sq natal Saturn (0.125°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming
2026-12-07,HIGH,Saturn->Saturn,6,11,3266.2,Saturn Sq natal Saturn (0.118°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming
2026-12-08,HIGH,Saturn->Saturn,6,11,3253.4,Saturn Sq natal Saturn (0.113°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming
2026-12-09,VERY HIGH,Saturn->Saturn,6,11,3424.0,Saturn Sq natal Saturn (0.109°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming
2026-12-10,PEAK,Saturn->Saturn,6,11,5345.4,Saturn Sq natal Saturn (0.107°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming
2026-12-11,PEAK,Jupiter->N.Node,7,11,4661.8,Jupiter Opp natal N.Node (2.223°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2026-12-12,PEAK,Neptune->Uranus,6,11,6461.6,Neptune Sq natal Uranus (0.249°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-12-13,PEAK,Neptune->Uranus,6,11,4703.0,Neptune Sq natal Uranus (0.249°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-12-14,PEAK,Neptune->Uranus,6,11,4218.8,Neptune Sq natal Uranus (0.248°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-12-17,HIGH,Neptune->Uranus,6,11,3211.2,Neptune Sq natal Uranus (0.243°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-12-18,HIGH,Neptune->Uranus,6,11,3206.0,Neptune Sq natal Uranus (0.240°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-12-19,HIGH,Neptune->Uranus,6,11,3191.8,Neptune Sq natal Uranus (0.237°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-12-20,HIGH,Neptune->Uranus,6,11,3241.6,Neptune Sq natal Uranus (0.233°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-12-21,HIGH,Neptune->Uranus,6,11,3188.8,Neptune Sq natal Uranus (0.228°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-12-23,HIGH,Neptune->Uranus,6,11,3229.2,Neptune Sq natal Uranus (0.217°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-12-24,HIGH,Neptune->Uranus,6,11,3260.8,Neptune Sq natal Uranus (0.211°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-12-27,HIGH,Neptune->Uranus,6,11,3183.4,Neptune Sq natal Uranus (0.188°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-12-29,HIGH,Neptune->Uranus,6,11,3299.0,Neptune Sq natal Uranus (0.170°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-12-30,HIGH,Neptune->Uranus,6,11,3376.8,Neptune Sq natal Uranus (0.160°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2026-12-31,HIGH,Neptune->Uranus,6,11,3415.3,Neptune Sq natal Uranus (0.150°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2027-01-01,HIGH,Neptune->Uranus,6,11,3269.5,Neptune Sq natal Uranus (0.139°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2027-01-02,HIGH,Neptune->Uranus,6,11,3304.6,Neptune Sq natal Uranus (0.128°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2027-01-03,VERY HIGH,Mars->Neptune,6,11,3417.7,Mars Tri natal Neptune (0.027°),Mars energy in H6. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2027-01-04,HIGH,Mars->Neptune,6,11,3273.5,Mars Tri natal Neptune (0.053°),Mars energy in H6. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2027-01-05,HIGH,Neptune->Uranus,6,11,3198.0,Neptune Sq natal Uranus (0.090°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2027-01-08,HIGH,Mars->Neptune,6,11,3384.1,Mars Tri natal Neptune (0.254°),Mars energy in H6. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2027-01-10,HIGH,Mars->Neptune,6,11,3197.7,Mars Tri natal Neptune (0.280°),Mars energy in H6. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2027-02-06,HIGH,Uranus->N.Node,7,11,3295.2,Uranus Sq natal N.Node (6.884°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
2027-02-07,PEAK,Uranus->N.Node,7,11,4129.6,Uranus Sq natal N.Node (6.882°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
2027-02-08,PEAK,Uranus->N.Node,7,11,4231.4,Uranus Sq natal N.Node (6.882°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
2027-02-09,PEAK,Uranus->N.Node,7,11,3765.8,Uranus Sq natal N.Node (6.882°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
2027-02-10,HIGH,Uranus->N.Node,7,11,3389.5,Uranus Sq natal N.Node (6.883°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
2027-03-02,VERY HIGH,Mercury->N.Node,7,11,3618.3,Mercury Conj natal N.Node (3.821°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2027-03-03,VERY HIGH,Mercury->N.Node,7,11,3674.2,Mercury Conj natal N.Node (3.878°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2027-03-04,HIGH,Sun->Pluto,3,11,3280.4,Sun Tri natal Pluto (0.038°),Sun energy in H3. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2027-03-05,HIGH,Mercury->N.Node,7,11,3273.1,Mercury Conj natal N.Node (3.673°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2027-03-06,HIGH,Mercury->N.Node,7,11,3336.7,Mercury Conj natal N.Node (3.422°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2027-03-07,HIGH,Neptune->Neptune,6,11,3194.7,Neptune Sq natal Neptune (6.721°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2027-03-09,HIGH,Neptune->Neptune,6,11,3260.0,Neptune Sq natal Neptune (6.648°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2027-03-10,HIGH,Neptune->Neptune,6,11,3261.4,Neptune Sq natal Neptune (6.611°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2027-03-12,HIGH,Neptune->Neptune,6,11,3204.4,Neptune Sq natal Neptune (6.536°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2027-03-13,HIGH,N.Node->Moon,7,11,3205.7,N.Node Conj natal Moon (0.089°),N.Node energy in H7. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2027-03-15,HIGH,N.Node->Moon,7,11,3209.9,N.Node Conj natal Moon (0.017°),N.Node energy in H7. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2027-03-22,HIGH,Pluto->Pluto,3,11,3230.6,Pluto Sq natal Pluto (6.963°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2027-03-24,HIGH,Pluto->Pluto,3,11,3219.7,Pluto Sq natal Pluto (6.923°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2027-03-28,HIGH,Pluto->Pluto,3,11,3202.5,Pluto Sq natal Pluto (6.846°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2027-03-29,HIGH,Pluto->Pluto,3,11,3288.3,Pluto Sq natal Pluto (6.828°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2027-03-30,VERY HIGH,Mars->N.Node,7,11,3430.6,Mars Opp natal N.Node (3.849°),Mars energy in H7. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2027-03-31,HIGH,Mars->N.Node,7,11,3411.9,Mars Opp natal N.Node (3.869°),Mars energy in H7. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2027-04-01,HIGH,Mars->N.Node,7,11,3389.1,Mars Opp natal N.Node (3.876°),Mars energy in H7. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2027-04-02,HIGH,Mars->N.Node,7,11,3406.5,Mars Opp natal N.Node (3.871°),Mars energy in H7. Bold decisions now.,"Make the major move
Act on what youve been delaying
Build something that lasts",Upcoming
2027-04-06,HIGH,Pluto->Pluto,3,11,3211.3,Pluto Sq natal Pluto (6.699°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2027-04-11,PEAK,Jupiter->N.Node,7,11,3736.4,Jupiter Opp natal N.Node (7.803°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2027-04-12,VERY HIGH,Jupiter->N.Node,7,11,3704.6,Jupiter Opp natal N.Node (7.807°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2027-04-13,PEAK,Jupiter->N.Node,7,11,3764.7,Jupiter Opp natal N.Node (7.807°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2027-04-28,HIGH,Pluto->Pluto,3,11,3191.8,Pluto Sq natal Pluto (6.487°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2027-05-06,VERY HIGH,Pluto->Pluto,3,11,3464.6,Pluto Sq natal Pluto (6.465°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2027-05-07,PEAK,Pluto->Pluto,3,11,5011.1,Pluto Sq natal Pluto (6.464°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2027-05-09,HIGH,Pluto->Pluto,3,11,3325.4,Pluto Sq natal Pluto (6.464°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2027-06-09,HIGH,Mercury->Neptune,6,11,3374.2,Mercury Opp natal Neptune (3.854°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2027-06-10,HIGH,Mercury->Neptune,6,11,3184.8,Mercury Opp natal Neptune (3.796°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2027-07-03,VERY HIGH,Mercury->Uranus,6,11,3440.5,Mercury Opp natal Uranus (4.332°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2027-07-04,VERY HIGH,Mercury->Uranus,6,11,3569.3,Mercury Opp natal Uranus (4.397°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2027-07-07,HIGH,Neptune->Neptune,6,11,3368.3,Neptune Sq natal Neptune (3.498°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2027-07-09,PEAK,Neptune->Neptune,6,11,4157.9,Neptune Sq natal Neptune (3.497°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2027-08-08,HIGH,Saturn->Uranus,6,11,3350.0,Saturn Tri natal Uranus (3.993°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming
2027-12-12,VERY HIGH,Neptune->Neptune,6,11,3682.6,Neptune Sq natal Neptune (6.307°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2027-12-13,PEAK,Neptune->Neptune,6,11,3810.3,Neptune Sq natal Neptune (6.309°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2027-12-14,PEAK,Neptune->Neptune,6,11,3737.5,Neptune Sq natal Neptune (6.309°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2027-12-15,PEAK,Neptune->Neptune,6,11,6372.6,Neptune Sq natal Neptune (6.310°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2027-12-16,PEAK,Neptune->Neptune,6,11,3965.7,Neptune Sq natal Neptune (6.309°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2027-12-17,PEAK,Neptune->Neptune,6,11,3893.1,Neptune Sq natal Neptune (6.309°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2027-12-23,VERY HIGH,Saturn->Sun,1,11,3535.9,Saturn Qnx natal Sun (0.142°),"Network pruning. Fewer, more meaningful connections. Quality over quantity.","Cut shallow connections
Invest in 3 key relationships
Build a tight inner circle",Upcoming
2027-12-24,VERY HIGH,Saturn->Sun,1,11,3692.4,Saturn Qnx natal Sun (0.142°),"Network pruning. Fewer, more meaningful connections. Quality over quantity.","Cut shallow connections
Invest in 3 key relationships
Build a tight inner circle",Upcoming
2027-12-27,HIGH,Neptune->Neptune,6,11,3239.0,Neptune Sq natal Neptune (6.268°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2028-01-11,PEAK,Jupiter->Sun,1,11,3893.3,Jupiter Conj natal Sun (6.631°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2028-01-12,VERY HIGH,Jupiter->Sun,1,11,3582.9,Jupiter Conj natal Sun (6.632°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2028-02-12,HIGH,Uranus->Mercury,2,11,3402.0,Uranus Tri natal Mercury (5.080°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming
2028-02-13,HIGH,Pluto->Pluto,3,11,3271.9,Pluto Sq natal Pluto (6.345°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2028-05-07,VERY HIGH,Pluto->Pluto,3,11,3578.0,Pluto Sq natal Pluto (4.832°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2028-05-08,PEAK,Pluto->Pluto,3,11,5198.1,Pluto Sq natal Pluto (4.832°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2028-05-09,PEAK,Pluto->Pluto,3,11,4155.9,Pluto Sq natal Pluto (4.832°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2028-05-10,PEAK,Pluto->Pluto,3,11,3878.5,Pluto Sq natal Pluto (4.832°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming
2028-05-11,VERY HIGH,Neptune->Saturn,6,11,3693.0,Neptune Sq natal Saturn (0.092°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2028-05-12,VERY HIGH,Jupiter->Sun,1,11,3577.9,Jupiter Conj natal Sun (3.342°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2028-05-13,VERY HIGH,Jupiter->Sun,1,11,3654.7,Jupiter Conj natal Sun (3.344°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2028-05-14,VERY HIGH,Jupiter->Sun,1,11,3677.7,Jupiter Conj natal Sun (3.344°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2028-05-15,HIGH,Jupiter->Sun,1,11,3220.3,Jupiter Conj natal Sun (3.340°),"Career explosion window. Visibility, recognition, opportunity.","Apply for the big opportunity
Step into public leadership
Make bold career announcement",Upcoming
2028-05-16,HIGH,Neptune->Jupiter,12,11,3309.2,Neptune Sq natal Jupiter (0.098°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2028-05-17,HIGH,Neptune->Jupiter,12,11,3256.9,Neptune Sq natal Jupiter (0.070°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2028-05-20,VERY HIGH,Mercury->Sun,1,11,3431.0,Mercury Sq natal Sun (4.599°),"Ideas spread through your network. Publish, pitch, post.","Write and publish something bold
Send the pitch deck
Start a community conversation",Upcoming
2028-05-21,HIGH,Neptune->Jupiter,12,11,3263.2,Neptune Sq natal Jupiter (0.035°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2028-07-08,HIGH,Neptune->Neptune,6,11,3217.6,Neptune Sq natal Neptune (1.273°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2028-07-09,HIGH,Neptune->Neptune,6,11,3321.4,Neptune Sq natal Neptune (1.272°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2028-07-10,PEAK,Neptune->Neptune,6,11,4601.2,Neptune Sq natal Neptune (1.271°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2028-07-11,PEAK,Neptune->Neptune,6,11,4280.2,Neptune Sq natal Neptune (1.271°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2028-07-13,HIGH,Neptune->Neptune,6,11,3194.8,Neptune Sq natal Neptune (1.272°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming
2028-08-18,HIGH,Saturn->Pluto,3,11,3199.7,Saturn Opp natal Pluto (2.366°),"Network pruning. Fewer, more meaningful connections. Quality over quantity.","Cut shallow connections
Invest in 3 key relationships
Build a tight inner circle",Upcoming
2028-08-21,PEAK,Saturn->Pluto,3,11,4004.9,Saturn Opp natal Pluto (2.350°),"Network pruning. Fewer, more meaningful connections. Quality over quantity.","Cut shallow connections
Invest in 3 key relationships
Build a tight inner circle",Upcoming
2028-08-22,PEAK,Saturn->Pluto,3,11,3734.1,Saturn Opp natal Pluto (2.348°),"Network pruning. Fewer, more meaningful connections. Quality over quantity.","Cut shallow connections
Invest in 3 key relationships
Build a tight inner circle",Upcoming
