Date,Zepp_Recovery_Score_(0-100),Zepp_Stress_Score_(0-100),Mazzaroth_Transit_Intensity_(Score),Mazzaroth_Level,Mazzaroth_Transit_Pair,Notes
2027-03-03,,,3674.2,VERY HIGH,Mercury->N.Node,
2027-03-04,,,3280.4,HIGH,Sun->Pluto,
2027-03-05,,,3273.1,HIGH,Mercury->N.Node,
2027-03-06,,,3336.7,HIGH,Mercury->N.Node,
2027-03-07,,,3194.7,HIGH,Neptune->Neptune,
2027-03-09,,,3260.0,HIGH,Neptune->Neptune,
2027-03-10,,,3261.4,HIGH,Neptune->Neptune,
2027-03-12,,,3204.4,HIGH,Neptune->Neptune,
2027-03-13,,,3205.7,HIGH,N.Node->Moon,
2027-03-15,,,3209.9,HIGH,N.Node->Moon,
2027-03-22,,,3230.6,HIGH,Pluto->Pluto,
2027-03-24,,,3219.7,HIGH,Pluto->Pluto,
2027-03-28,,,3202.5,HIGH,Pluto->Pluto,
2027-03-29,,,3288.3,HIGH,Pluto->Pluto,
2027-03-30,,,3430.6,VERY HIGH,Mars->N.Node,
2027-03-31,,,3411.9,HIGH,Mars->N.Node,
2027-04-01,,,3389.1,HIGH,Mars->N.Node,
2027-04-02,,,3406.5,HIGH,Mars->N.Node,
2027-04-06,,,3211.3,HIGH,Pluto->Pluto,
2027-04-11,,,3736.4,PEAK,Jupiter->N.Node,
2027-04-12,,,3704.6,VERY HIGH,Jupiter->N.Node,
2027-04-13,,,3764.7,PEAK,Jupiter->N.Node,
2027-04-28,,,3191.8,HIGH,Pluto->Pluto,
2027-05-06,,,3464.6,VERY HIGH,Pluto->Pluto,
2027-05-07,,,5011.1,PEAK,Pluto->Pluto,
2027-05-09,,,3325.4,HIGH,Pluto->Pluto,
2027-06-09,,,3374.2,HIGH,Mercury->Neptune,
2027-06-10,,,3184.8,HIGH,Mercury->Neptune,
2027-07-03,,,3440.5,VERY HIGH,Mercury->Uranus,
2027-07-04,,,3569.3,VERY HIGH,Mercury->Uranus,
2027-07-07,,,3368.3,HIGH,Neptune->Neptune,
2027-07-09,,,4157.9,PEAK,Neptune->Neptune,
2027-08-08,,,3350.0,HIGH,Saturn->Uranus,
2027-12-12,,,3682.6,VERY HIGH,Neptune->Neptune,
2027-12-13,,,3810.3,PEAK,Neptune->Neptune,
2027-12-14,,,3737.5,PEAK,Neptune->Neptune,
2027-12-15,,,6372.6,PEAK,Neptune->Neptune,
2027-12-16,,,3965.7,PEAK,Neptune->Neptune,
2027-12-17,,,3893.1,PEAK,Neptune->Neptune,
2027-12-23,,,3535.9,VERY HIGH,Saturn->Sun,
2027-12-24,,,3692.4,VERY HIGH,Saturn->Sun,
2027-12-27,,,3239.0,HIGH,Neptune->Neptune,
2028-01-11,,,3893.3,PEAK,Jupiter->Sun,
2028-01-12,,,3582.9,VERY HIGH,Jupiter->Sun,
2028-02-12,,,3402.0,HIGH,Uranus->Mercury,
2028-02-13,,,3271.9,HIGH,Pluto->Pluto,
2028-05-07,,,3578.0,VERY HIGH,Pluto->Pluto,
2028-05-08,,,5198.1,PEAK,Pluto->Pluto,
2028-05-09,,,4155.9,PEAK,Pluto->Pluto,
2028-05-10,,,3878.5,PEAK,Pluto->Pluto,
2028-05-11,,,3693.0,VERY HIGH,Neptune->Saturn,
2028-05-12,,,3577.9,VERY HIGH,Jupiter->Sun,
2028-05-13,,,3654.7,VERY HIGH,Jupiter->Sun,
2028-05-14,,,3677.7,VERY HIGH,Jupiter->Sun,
2028-05-15,,,3220.3,HIGH,Jupiter->Sun,
2028-05-16,,,3309.2,HIGH,Neptune->Jupiter,
2028-05-17,,,3256.9,HIGH,Neptune->Jupiter,
2028-05-20,,,3431.0,VERY HIGH,Mercury->Sun,
2028-05-21,,,3263.2,HIGH,Neptune->Jupiter,
2028-07-08,,,3217.6,HIGH,Neptune->Neptune,
2028-07-09,,,3321.4,HIGH,Neptune->Neptune,
2028-07-10,,,4601.2,PEAK,Neptune->Neptune,
2028-07-11,,,4280.2,PEAK,Neptune->Neptune,
2028-07-13,,,3194.8,HIGH,Neptune->Neptune,
2028-08-18,,,3199.7,HIGH,Saturn->Pluto,
2028-08-21,,,4004.9,PEAK,Saturn->Pluto,
2028-08-22,,,3734.1,PEAK,Saturn->Pluto,
2028-09-18,,,3745.4,PEAK,Uranus->Sun,
2028-10-18,,,3274.1,HIGH,Pluto->Venus,
2028-12-14,,,3226.6,HIGH,Neptune->Neptune,
2028-12-15,,,3408.5,HIGH,Neptune->Neptune,
2028-12-16,,,4788.8,PEAK,Neptune->Neptune,
2028-12-17,,,3527.0,VERY HIGH,Neptune->Neptune,
2028-12-18,,,3245.9,HIGH,Neptune->Neptune,
2028-12-30,,,3191.8,HIGH,Pluto->Pluto,
2028-12-31,,,3561.9,VERY HIGH,Pluto->Pluto,
2029-01-01,,,3246.8,HIGH,Pluto->Pluto,
2029-01-02,,,3199.9,HIGH,Pluto->Pluto,
2029-01-03,,,3380.9,HIGH,Pluto->Pluto,
2029-01-04,,,3872.6,PEAK,Saturn->Neptune,
2029-01-05,,,4174.7,PEAK,Saturn->Neptune,
2029-01-06,,,3306.0,HIGH,Pluto->Pluto,
2029-01-08,,,3233.3,HIGH,Pluto->Pluto,
2029-01-09,,,3244.6,HIGH,Pluto->Pluto,
2029-02-09,,,3532.4,VERY HIGH,Jupiter->N.Node,
2029-02-10,,,3304.5,HIGH,Jupiter->N.Node,
2029-02-12,,,3453.9,VERY HIGH,Mars->Neptune,
2029-02-13,,,3671.7,VERY HIGH,Mars->Neptune,
2029-02-14,,,3621.4,VERY HIGH,Uranus->Neptune,
2029-02-15,,,4151.7,PEAK,Uranus->Neptune,
2029-02-16,,,3761.5,PEAK,Uranus->Neptune,
2029-03-07,,,3249.1,HIGH,Neptune->Saturn,
2029-03-08,,,3291.6,HIGH,Neptune->Saturn,
2029-03-09,,,3404.0,HIGH,Neptune->Saturn,
2029-03-10,,,3243.2,HIGH,Neptune->Saturn,
2029-03-11,,,3254.6,HIGH,Neptune->Saturn,
2029-03-12,,,3222.0,HIGH,Neptune->Saturn,
2029-03-14,,,3216.2,HIGH,Pluto->Pluto,
2029-03-15,,,3412.2,HIGH,N.Node->Neptune,
2029-03-16,,,3461.6,VERY HIGH,N.Node->Neptune,
2029-03-17,,,3394.2,HIGH,N.Node->Neptune,
2029-03-18,,,3484.8,VERY HIGH,N.Node->Neptune,
2029-03-19,,,3231.7,HIGH,Neptune->Jupiter,
2029-03-20,,,3195.9,HIGH,Neptune->Jupiter,
2029-03-21,,,3203.1,HIGH,Neptune->Jupiter,
2029-03-22,,,3379.9,HIGH,Pluto->Pluto,
2029-03-23,,,3343.6,HIGH,Pluto->Pluto,
2029-03-24,,,3407.9,HIGH,Pluto->Pluto,
2029-03-25,,,3312.2,HIGH,Pluto->Pluto,
2029-03-27,,,3374.6,HIGH,Pluto->Pluto,
2029-03-28,,,3409.7,HIGH,Pluto->Pluto,
2029-03-29,,,3261.8,HIGH,Pluto->Pluto,
2029-03-30,,,3266.6,HIGH,Saturn->Neptune,
2029-03-31,,,3212.4,HIGH,Saturn->Neptune,
2029-04-25,,,3413.6,HIGH,Saturn->Pluto,
2029-04-26,,,3389.7,HIGH,Saturn->Pluto,
2029-04-27,,,3428.4,VERY HIGH,Saturn->Pluto,
2029-04-28,,,3575.2,VERY HIGH,Saturn->Pluto,
2029-04-29,,,3617.7,VERY HIGH,Neptune->Neptune,
2029-04-30,,,3591.5,VERY HIGH,Neptune->Neptune,
2029-05-01,,,3946.2,PEAK,Neptune->Neptune,
2029-05-02,,,3585.3,VERY HIGH,Neptune->Neptune,
2029-05-03,,,4093.3,PEAK,Mars->Sun,
2029-05-04,,,4118.9,PEAK,Mars->Sun,
2029-05-05,,,4354.3,PEAK,Mars->Sun,
2029-05-06,,,4172.7,PEAK,Mars->Sun,
2029-05-08,,,3734.4,PEAK,Pluto->Pluto,
2029-05-09,,,3722.2,PEAK,Pluto->Pluto,
2029-05-10,,,5023.3,PEAK,Pluto->Pluto,
2029-05-11,,,3628.8,VERY HIGH,Neptune->Neptune,
2029-05-12,,,3629.7,VERY HIGH,Neptune->Neptune,
2029-05-13,,,3187.2,HIGH,Neptune->Neptune,
2029-05-15,,,3224.1,HIGH,Neptune->Neptune,
2029-05-25,,,3243.8,HIGH,Mercury->Pluto,
2029-06-13,,,3349.8,HIGH,Jupiter->Mercury,
2029-07-11,,,3364.1,HIGH,Neptune->Neptune,
2029-07-12,,,3334.5,HIGH,Neptune->Neptune,
2029-07-13,,,4999.5,PEAK,Neptune->Neptune,
2029-08-18,,,3278.1,HIGH,N.Node->Uranus,
2029-08-19,,,3492.5,VERY HIGH,N.Node->Uranus,
2029-08-20,,,3424.1,VERY HIGH,Saturn->N.Node,
2029-08-21,,,3262.6,HIGH,Saturn->N.Node,
2029-08-22,,,3351.1,HIGH,Saturn->N.Node,
2029-08-23,,,3219.8,HIGH,Saturn->N.Node,
2029-08-24,,,3208.7,HIGH,Saturn->N.Node,
2029-08-25,,,3303.5,HIGH,Saturn->N.Node,
2029-08-30,,,3182.0,HIGH,Neptune->Neptune,
2029-09-01,,,3682.6,VERY HIGH,Mercury->Uranus,
2029-09-02,,,3811.9,PEAK,Mercury->Uranus,
2029-09-03,,,3315.2,HIGH,Saturn->N.Node,
2029-09-05,,,4159.2,PEAK,Saturn->N.Node,
2029-09-06,,,4081.4,PEAK,Saturn->N.Node,
2029-09-15,,,3272.5,HIGH,Neptune->Neptune,
2029-09-16,,,3278.0,HIGH,Neptune->Neptune,
2029-09-20,,,3344.8,HIGH,Saturn->N.Node,
2029-09-21,,,3415.3,VERY HIGH,Saturn->N.Node,
2029-09-22,,,4726.8,PEAK,Uranus->N.Node,
2029-09-23,,,4446.5,PEAK,Uranus->Moon,
2029-09-24,,,3634.8,VERY HIGH,Mercury->Sun,
2029-09-25,,,3338.1,HIGH,Neptune->Neptune,
2029-09-26,,,3337.9,HIGH,Neptune->Neptune,
2029-10-20,,,3971.8,PEAK,Pluto->Pluto,
2029-10-22,,,3226.2,HIGH,Pluto->Pluto,
2029-11-16,,,3183.8,HIGH,Pluto->Pluto,
2029-12-12,,,3207.7,HIGH,Pluto->Pluto,
2029-12-15,,,3446.3,VERY HIGH,Pluto->Pluto,
2029-12-16,,,3859.9,PEAK,Neptune->Saturn,
2029-12-17,,,3809.4,PEAK,Neptune->Saturn,
2029-12-18,,,5149.6,PEAK,Neptune->Saturn,
2029-12-19,,,3567.1,VERY HIGH,Neptune->Saturn,
2029-12-20,,,3784.5,PEAK,Neptune->Saturn,
2029-12-21,,,4435.0,PEAK,Mercury->Neptune,
2029-12-23,,,3192.5,HIGH,Sun->Uranus,
2030-01-09,,,3184.8,HIGH,Mercury->Uranus,
2030-01-10,,,3714.0,PEAK,Mercury->Uranus,
2030-01-14,,,3347.2,HIGH,Saturn->Pluto,
2030-01-15,,,3238.2,HIGH,Saturn->Pluto,
2030-01-16,,,3351.7,HIGH,Saturn->Pluto,
2030-01-17,,,3316.6,HIGH,Saturn->Pluto,
2030-01-18,,,4066.7,PEAK,Saturn->Pluto,
2030-01-19,,,4503.3,PEAK,Saturn->Pluto,
2030-01-20,,,3463.6,VERY HIGH,Saturn->Pluto,
2030-01-21,,,3486.8,VERY HIGH,Saturn->Pluto,
2030-01-22,,,3567.5,VERY HIGH,Saturn->Pluto,
2030-01-23,,,3187.9,HIGH,Pluto->Pluto,
2030-01-25,,,3631.0,VERY HIGH,Venus->Neptune,
2030-01-26,,,3729.2,PEAK,Venus->Neptune,
2030-01-27,,,3838.2,PEAK,Venus->Neptune,
2030-01-28,,,3211.4,HIGH,Jupiter->N.Node,
2030-01-30,,,3256.6,HIGH,Pluto->Pluto,
2030-02-02,,,3230.0,HIGH,Pluto->Pluto,
2030-02-20,,,3794.4,PEAK,Uranus->Sun,
2030-03-12,,,3469.5,VERY HIGH,Jupiter->N.Node,
2030-03-13,,,3420.1,VERY HIGH,Neptune->Neptune,
2030-03-14,,,3231.6,HIGH,Neptune->Neptune,
2030-03-16,,,3343.5,HIGH,Neptune->Neptune,
2030-03-17,,,3280.6,HIGH,Neptune->Neptune,
2030-03-19,,,3189.5,HIGH,Neptune->Neptune,
2030-04-12,,,3716.3,PEAK,Mercury->Saturn,
2030-04-15,,,3204.9,HIGH,Pluto->Pluto,
2030-05-05,,,3287.7,HIGH,Pluto->Pluto,
2030-05-06,,,3349.3,HIGH,Pluto->Pluto,
2030-05-10,,,3419.9,VERY HIGH,Pluto->Pluto,
2030-05-11,,,3375.8,HIGH,Pluto->Pluto,
2030-05-12,,,4628.4,PEAK,Pluto->Pluto,
2030-05-13,,,3206.5,HIGH,Pluto->Pluto,
2030-05-14,,,3190.5,HIGH,Pluto->Pluto,
2030-07-13,,,4081.8,PEAK,Jupiter->Pluto,
2030-07-14,,,4026.4,PEAK,Jupiter->Pluto,
2030-07-15,,,4010.1,PEAK,Jupiter->Pluto,
2030-07-16,,,4750.4,PEAK,Neptune->Neptune,
2030-07-17,,,3507.8,VERY HIGH,Jupiter->Pluto,
2030-07-18,,,3509.2,VERY HIGH,Jupiter->Pluto,
2030-09-27,,,4099.9,PEAK,Uranus->N.Node,
2030-09-28,,,3716.8,PEAK,Uranus->N.Node,
2030-10-22,,,3376.6,HIGH,Pluto->Pluto,
2030-12-05,,,3799.3,PEAK,Mercury->Uranus,
2030-12-19,,,3193.3,HIGH,Neptune->Neptune,
2030-12-20,,,3202.0,HIGH,Neptune->Neptune,
2030-12-21,,,4846.2,PEAK,Neptune->Neptune,
2031-02-01,,,3381.5,HIGH,Saturn->Uranus,
2031-02-02,,,3549.8,VERY HIGH,Saturn->Uranus,
2031-02-16,,,3193.4,HIGH,Jupiter->Chiron,
2031-02-22,,,3261.1,HIGH,Uranus->Moon,
2031-02-23,,,3248.5,HIGH,Uranus->Moon,
2031-02-24,,,4130.8,PEAK,Uranus->Moon,
2031-02-25,,,4322.6,PEAK,Uranus->N.Node,
2031-02-26,,,3467.6,VERY HIGH,Uranus->N.Node,
2031-02-27,,,3392.5,HIGH,Uranus->N.Node,
2031-03-17,,,3293.6,HIGH,Mars->Pluto,
2031-03-18,,,3276.0,HIGH,Mars->Pluto,
2031-03-19,,,3337.6,HIGH,Mars->Pluto,
2031-03-20,,,3233.3,HIGH,Mars->Pluto,
2031-03-21,,,3232.2,HIGH,Mars->Pluto,
2031-03-22,,,3285.6,HIGH,Mars->Pluto,
2031-03-23,,,3305.1,HIGH,Mars->Pluto,
2031-03-24,,,3226.6,HIGH,Mars->Pluto,
2031-03-25,,,3318.3,HIGH,Mars->Pluto,
2031-03-26,,,3894.5,PEAK,Mars->Pluto,
2031-03-27,,,3857.2,PEAK,Mars->Pluto,
2031-03-28,,,3856.7,PEAK,Mars->Pluto,
2031-03-29,,,3784.2,PEAK,Mars->Pluto,
2031-03-30,,,3729.5,PEAK,Mars->Pluto,
2031-03-31,,,3300.4,HIGH,Pluto->Pluto,
2031-04-03,,,3256.9,HIGH,Pluto->Pluto,
2031-04-04,,,3243.7,HIGH,Pluto->Pluto,
2031-04-05,,,3252.2,HIGH,Pluto->Pluto,
2031-04-06,,,3233.0,HIGH,Pluto->Pluto,
2031-04-07,,,3183.7,HIGH,Pluto->Pluto,
2031-04-08,,,3451.8,VERY HIGH,Pluto->Pluto,
2031-04-09,,,3459.8,VERY HIGH,Pluto->Pluto,
2031-04-10,,,3415.9,VERY HIGH,Pluto->Pluto,
2031-04-11,,,3443.7,VERY HIGH,Pluto->Pluto,
2031-04-12,,,3459.8,VERY HIGH,Pluto->Pluto,
2031-04-13,,,3550.4,VERY HIGH,Pluto->Pluto,
2031-04-14,,,4706.1,PEAK,Jupiter->Uranus,
2031-04-15,,,4692.3,PEAK,Jupiter->Uranus,
2031-04-16,,,3602.5,VERY HIGH,Pluto->Pluto,
2031-04-17,,,4365.0,PEAK,Mercury->Saturn,
2031-04-18,,,4441.0,PEAK,Mercury->Saturn,
2031-04-19,,,3716.1,PEAK,Pluto->Pluto,
2031-04-20,,,3582.2,VERY HIGH,Pluto->Pluto,
2031-04-21,,,3663.9,VERY HIGH,Pluto->Pluto,
2031-04-26,,,3206.8,HIGH,Pluto->Pluto,
2031-04-27,,,3212.0,HIGH,Pluto->Pluto,
2031-04-30,,,3258.1,HIGH,Pluto->Pluto,
2031-05-01,,,3273.7,HIGH,Pluto->Pluto,
2031-05-02,,,3287.3,HIGH,Pluto->Pluto,
2031-05-03,,,3248.5,HIGH,Pluto->Pluto,
2031-05-04,,,3325.8,HIGH,Pluto->Pluto,
2031-05-06,,,3190.7,HIGH,Pluto->Pluto,
2031-05-07,,,3319.4,HIGH,Pluto->Pluto,
2031-05-09,,,3295.4,HIGH,Pluto->Pluto,
2031-05-10,,,3232.7,HIGH,Pluto->Pluto,
2031-05-12,,,3948.7,PEAK,Pluto->Pluto,
2031-05-13,,,4077.3,PEAK,Pluto->Pluto,
2031-05-14,,,6157.5,PEAK,Pluto->Pluto,
2031-05-15,,,4069.6,PEAK,Pluto->Pluto,
2031-05-16,,,3974.6,PEAK,Pluto->Pluto,
2031-05-17,,,3274.2,HIGH,Pluto->Pluto,
2031-05-19,,,3242.6,HIGH,Pluto->Pluto,
2031-05-20,,,3223.4,HIGH,Pluto->Pluto,
2031-05-23,,,3190.3,HIGH,Pluto->Pluto,
2031-05-24,,,3199.7,HIGH,Pluto->Pluto,
2031-06-12,,,3391.8,HIGH,Pluto->Pluto,
2031-06-13,,,3319.0,HIGH,Pluto->Pluto,
2031-06-14,,,3312.7,HIGH,Pluto->Pluto,
2031-06-30,,,3230.6,HIGH,Pluto->Pluto,
2031-07-04,,,3221.4,HIGH,Uranus->Chiron,
2031-07-07,,,3184.9,HIGH,Uranus->N.Node,
2031-07-08,,,3240.4,HIGH,Uranus->N.Node,
2031-07-09,,,3190.8,HIGH,Uranus->N.Node,
2031-07-10,,,3232.2,HIGH,Uranus->N.Node,
2031-07-11,,,3192.1,HIGH,Uranus->N.Node,
2031-07-12,,,3280.7,HIGH,Venus->N.Node,
2031-07-13,,,3252.4,HIGH,Uranus->N.Node,
2031-07-14,,,3234.9,HIGH,Uranus->N.Node,
2031-07-15,,,3189.0,HIGH,Uranus->N.Node,
2031-07-16,,,3564.3,VERY HIGH,Neptune->Neptune,
2031-07-17,,,3650.2,VERY HIGH,Neptune->Neptune,
2031-07-18,,,4436.4,PEAK,Neptune->Neptune,
2031-07-19,,,3764.9,PEAK,Venus->N.Node,
2031-07-20,,,3750.5,PEAK,Venus->N.Node,
2031-07-21,,,3490.1,VERY HIGH,Venus->N.Node,
2031-07-24,,,3325.5,HIGH,Uranus->N.Node,
2031-07-28,,,3437.1,VERY HIGH,Mercury->N.Node,
2031-07-29,,,3222.5,HIGH,Mercury->N.Node,
2031-08-14,,,3773.3,PEAK,Jupiter->Chiron,
2031-08-15,,,3639.4,VERY HIGH,Jupiter->Chiron,
2031-08-16,,,3786.2,PEAK,Jupiter->Chiron,
2031-08-18,,,3188.6,HIGH,Saturn->Sun,
2031-08-19,,,3220.6,HIGH,Uranus->Mars,
2031-08-20,,,3212.0,HIGH,Uranus->Mars,
2031-08-21,,,3486.8,VERY HIGH,Mercury->Pluto,
2031-08-31,,,3368.4,HIGH,Venus->Pluto,
2031-09-01,,,3318.9,HIGH,Venus->Pluto,
2031-09-02,,,3317.5,HIGH,Venus->Pluto,
2031-09-19,,,3209.6,HIGH,Jupiter->Sun,
2031-09-20,,,3249.5,HIGH,Jupiter->Sun,
2031-09-21,,,3248.4,HIGH,Pluto->Pluto,
2031-09-23,,,3254.3,HIGH,Pluto->Pluto,
2031-09-24,,,3321.3,HIGH,Pluto->Pluto,
2031-09-25,,,3361.6,HIGH,Pluto->Pluto,
2031-09-26,,,3299.1,HIGH,Pluto->Pluto,
2031-09-27,,,3381.7,HIGH,Pluto->Pluto,
2031-09-28,,,3194.1,HIGH,Pluto->Pluto,
2031-09-29,,,3690.0,VERY HIGH,Uranus->Uranus,
2031-09-30,,,3991.1,PEAK,Uranus->Uranus,
2031-10-01,,,3912.6,PEAK,Uranus->Uranus,
2031-10-02,,,5288.1,PEAK,Uranus->Uranus,
2031-10-03,,,3812.4,PEAK,Uranus->Uranus,
2031-10-04,,,4658.6,PEAK,Saturn->N.Node,
2031-10-05,,,4352.5,PEAK,Saturn->N.Node,
2031-10-06,,,3237.6,HIGH,Pluto->Pluto,
2031-10-07,,,3282.3,HIGH,Pluto->Pluto,
2031-10-08,,,3234.2,HIGH,Pluto->Pluto,
2031-10-16,,,3187.2,HIGH,Pluto->Pluto,
2031-10-22,,,3403.0,HIGH,Pluto->Pluto,
2031-10-23,,,3422.5,VERY HIGH,Pluto->Pluto,
2031-10-24,,,4663.1,PEAK,Pluto->Pluto,
2031-10-25,,,3572.8,VERY HIGH,Pluto->Pluto,
2031-10-26,,,3516.2,VERY HIGH,Pluto->Pluto,
2031-10-28,,,3244.0,HIGH,Pluto->Pluto,
2031-10-29,,,3354.5,HIGH,Pluto->Pluto,
2031-10-30,,,3329.7,HIGH,Pluto->Pluto,
2031-10-31,,,3315.3,HIGH,Pluto->Pluto,
2031-11-02,,,3189.9,HIGH,Pluto->Pluto,
2031-11-03,,,3229.8,HIGH,Pluto->Pluto,
2031-11-04,,,3220.7,HIGH,Pluto->Pluto,
2031-11-14,,,3204.7,HIGH,Uranus->Mars,
2031-11-15,,,3195.1,HIGH,Uranus->Mars,
2031-11-17,,,3320.9,HIGH,Uranus->Mars,
2031-11-18,,,3194.4,HIGH,Uranus->Mars,
2031-11-19,,,3260.6,HIGH,Uranus->Mars,
2031-12-09,,,3335.5,HIGH,Mercury->N.Node,
2031-12-12,,,3249.6,HIGH,Pluto->Pluto,
2031-12-14,,,3304.7,HIGH,Pluto->Pluto,
2031-12-15,,,3345.0,HIGH,Pluto->Pluto,
2031-12-18,,,3206.6,HIGH,Pluto->Pluto,
2031-12-19,,,3210.4,HIGH,Pluto->Pluto,
2031-12-20,,,3245.7,HIGH,Pluto->Pluto,
2031-12-21,,,3621.7,VERY HIGH,Neptune->Neptune,
2031-12-22,,,3638.4,VERY HIGH,Neptune->Neptune,
2031-12-23,,,4736.8,PEAK,Neptune->Neptune,
2031-12-24,,,3681.1,VERY HIGH,Neptune->Neptune,
2031-12-25,,,3634.2,VERY HIGH,Neptune->Neptune,
2031-12-26,,,3192.9,HIGH,Uranus->N.Node,
2031-12-27,,,3259.0,HIGH,Uranus->N.Node,
2031-12-28,,,3220.1,HIGH,Pluto->Pluto,
2031-12-29,,,3343.6,HIGH,Jupiter->Neptune,
2031-12-30,,,3240.5,HIGH,Jupiter->Neptune,
2031-12-31,,,3440.5,VERY HIGH,Jupiter->Neptune,
2032-01-01,,,3378.2,HIGH,Jupiter->Neptune,
2032-01-02,,,3279.9,HIGH,Jupiter->Neptune,
2032-01-04,,,3286.3,HIGH,Pluto->Pluto,
2032-01-05,,,3282.0,HIGH,Pluto->Pluto,
2032-01-14,,,3210.7,HIGH,Uranus->Chiron,
2032-01-15,,,3315.3,HIGH,Uranus->Chiron,
2032-01-16,,,3409.5,HIGH,Uranus->Chiron,
2032-01-17,,,3251.2,HIGH,Pluto->Pluto,
2032-02-03,,,3182.2,HIGH,Pluto->Pluto,
2032-02-08,,,3209.1,HIGH,Pluto->Pluto,
2032-02-11,,,3240.7,HIGH,Pluto->Pluto,
2032-02-12,,,3248.5,HIGH,Pluto->Pluto,
2032-02-13,,,3183.5,HIGH,Pluto->Pluto,
